Device,Operation,input,output,in_c,out_c,kernel_size,stride,dilation,latency
a31,identity,128,128,6,32,0,0,0,0.048
a31,conv,128,128,6,32,3,1,1,0.067
a31,conv,128,128,6,32,5,1,1,0.097
a31,conv,128,128,6,32,7,1,1,0.082
a31,conv,128,128,6,32,9,1,1,0.059
a31,diconv,128,128,6,32,3,1,2,0.049
a31,diconv,128,128,6,32,5,1,2,0.051
a31,diconv,128,128,6,32,7,1,2,0.061
a31,diconv,128,128,6,32,9,1,2,0.061
a31,identity,128,128,32,64,0,0,0,0.095
a31,conv,128,128,32,64,3,1,1,0.192
a31,conv,128,128,32,64,5,1,1,0.184
a31,conv,128,128,32,64,7,1,1,0.205
a31,conv,128,128,32,64,9,1,1,0.262
a31,diconv,128,128,32,64,3,1,2,0.09
a31,diconv,128,128,32,64,5,1,2,0.119
a31,diconv,128,128,32,64,7,1,2,0.129
a31,diconv,128,128,32,64,9,1,2,0.152
a31,identity,128,128,64,128,0,0,0,0.135
a31,conv,128,128,64,128,3,1,1,0.349
a31,conv,128,128,64,128,5,1,1,0.504
a31,conv,128,128,64,128,7,1,1,0.391
a31,conv,128,128,64,128,9,1,1,0.484
a31,diconv,128,128,64,128,3,1,2,0.16
a31,diconv,128,128,64,128,5,1,2,0.22
a31,diconv,128,128,64,128,7,1,2,0.28
a31,diconv,128,128,64,128,9,1,2,0.312
a31,logits,128,6,0,0,0,0,0,0.021
s9,identity,128,128,6,32,0,0,0,0.092
s9,conv,128,128,6,32,3,1,1,0.046
s9,conv,128,128,6,32,5,1,1,0.035
s9,conv,128,128,6,32,7,1,1,0.039
s9,conv,128,128,6,32,9,1,1,0.037
s9,diconv,128,128,6,32,3,1,2,0.026
s9,diconv,128,128,6,32,5,1,2,0.022
s9,diconv,128,128,6,32,7,1,2,0.021
s9,diconv,128,128,6,32,9,1,2,0.021
s9,identity,128,128,32,64,0,0,0,0.093
s9,conv,128,128,32,64,3,1,1,0.144
s9,conv,128,128,32,64,5,1,1,0.203
s9,conv,128,128,32,64,7,1,1,0.149
s9,conv,128,128,32,64,9,1,1,0.157
s9,diconv,128,128,32,64,3,1,2,0.033
s9,diconv,128,128,32,64,5,1,2,0.034
s9,diconv,128,128,32,64,7,1,2,0.038
s9,diconv,128,128,32,64,9,1,2,0.044
s9,identity,128,128,64,128,0,0,0,0.145
s9,conv,128,128,64,128,3,1,1,0.198
s9,conv,128,128,64,128,5,1,1,0.181
s9,conv,128,128,64,128,7,1,1,0.196
s9,conv,128,128,64,128,9,1,1,0.205
s9,diconv,128,128,64,128,3,1,2,0.065
s9,diconv,128,128,64,128,5,1,2,0.076
s9,diconv,128,128,64,128,7,1,2,0.094
s9,diconv,128,128,64,128,9,1,2,0.106
s9,logits,128,6,0,0,0,0,0,0.022
s10,identity,128,128,6,32,0,0,0,0.021
s10,conv,128,128,6,32,3,1,1,0.508
s10,conv,128,128,6,32,5,1,1,0.022
s10,conv,128,128,6,32,7,1,1,0.03
s10,conv,128,128,6,32,9,1,1,0.031
s10,diconv,128,128,6,32,3,1,2,0.015
s10,diconv,128,128,6,32,5,1,2,0.016
s10,diconv,128,128,6,32,7,1,2,0.017
s10,diconv,128,128,6,32,9,1,2,0.017
s10,identity,128,128,32,64,0,0,0,0.134
s10,conv,128,128,32,64,3,1,1,0.18
s10,conv,128,128,32,64,5,1,1,0.145
s10,conv,128,128,32,64,7,1,1,0.141
s10,conv,128,128,32,64,9,1,1,0.155
s10,diconv,128,128,32,64,3,1,2,0.027
s10,diconv,128,128,32,64,5,1,2,0.031
s10,diconv,128,128,32,64,7,1,2,0.037
s10,diconv,128,128,32,64,9,1,2,0.034
s10,identity,128,128,64,128,0,0,0,0.172
s10,conv,128,128,64,128,3,1,1,0.184
s10,conv,128,128,64,128,5,1,1,0.211
s10,conv,128,128,64,128,7,1,1,0.225
s10,conv,128,128,64,128,9,1,1,0.239
s10,diconv,128,128,64,128,3,1,2,0.047
s10,diconv,128,128,64,128,5,1,2,0.064
s10,diconv,128,128,64,128,7,1,2,0.078
s10,diconv,128,128,64,128,9,1,2,0.091
s10,logits,128,6,0,0,0,0,0,0.015
a31,identity,60,60,3,32,0,0,0,0.052
a31,conv,60,60,3,32,3,1,1,0.052
a31,conv,60,60,3,32,5,1,1,0.031
a31,conv,60,60,3,32,7,1,1,0.029
a31,conv,60,60,3,32,9,1,1,0.031
a31,diconv,60,60,3,32,3,1,2,0.027
a31,diconv,60,60,3,32,5,1,2,0.024
a31,diconv,60,60,3,32,7,1,2,0.026
a31,diconv,60,60,3,32,9,1,2,0.024
a31,identity,60,60,32,64,0,0,0,0.101
a31,conv,60,60,32,64,3,1,1,0.119
a31,conv,60,60,32,64,5,1,1,0.129
a31,conv,60,60,32,64,7,1,1,0.107
a31,conv,60,60,32,64,9,1,1,0.138
a31,diconv,60,60,32,64,3,1,2,0.071
a31,diconv,60,60,32,64,5,1,2,0.081
a31,diconv,60,60,32,64,7,1,2,0.092
a31,diconv,60,60,32,64,9,1,2,0.098
a31,identity,60,60,64,128,0,0,0,0.177
a31,conv,60,60,64,128,3,1,1,0.178
a31,conv,60,60,64,128,5,1,1,0.225
a31,conv,60,60,64,128,7,1,1,0.241
a31,conv,60,60,64,128,9,1,1,0.234
a31,diconv,60,60,64,128,3,1,2,0.114
a31,diconv,60,60,64,128,5,1,2,0.13
a31,diconv,60,60,64,128,7,1,2,0.169
a31,diconv,60,60,64,128,9,1,2,0.19
a31,logits,60,6,0,0,0,0,0,0.021
s9,identity,60,60,3,32,0,0,0,0.06
s9,conv,60,60,3,32,3,1,1,0.037
s9,conv,60,60,3,32,5,1,1,0.03
s9,conv,60,60,3,32,7,1,1,0.026
s9,conv,60,60,3,32,9,1,1,0.026
s9,diconv,60,60,3,32,3,1,2,0.026
s9,diconv,60,60,3,32,5,1,2,0.016
s9,diconv,60,60,3,32,7,1,2,0.015
s9,diconv,60,60,3,32,9,1,2,0.015
s9,identity,60,60,32,64,0,0,0,0.039
s9,conv,60,60,32,64,3,1,1,0.04
s9,conv,60,60,32,64,5,1,1,0.042
s9,conv,60,60,32,64,7,1,1,0.054
s9,conv,60,60,32,64,9,1,1,0.049
s9,diconv,60,60,32,64,3,1,2,0.021
s9,diconv,60,60,32,64,5,1,2,0.025
s9,diconv,60,60,32,64,7,1,2,0.023
s9,diconv,60,60,32,64,9,1,2,0.028
s9,identity,60,60,64,128,0,0,0,0.103
s9,conv,60,60,64,128,3,1,1,0.174
s9,conv,60,60,64,128,5,1,1,0.218
s9,conv,60,60,64,128,7,1,1,0.192
s9,conv,60,60,64,128,9,1,1,0.201
s9,diconv,60,60,64,128,3,1,2,0.036
